sample_id,label,cls,exceed_count,suspicious_presence_ratio,skewness,burstiness,suspicious_presence,norm_entropy,dominant_freq,depth,sliding_entropy_std,rare_suspicious,freq_gap_top2,_exceed_suspicious_presence_ratio,_exceed_skewness,_exceed_burstiness,_exceed_suspicious_presence,_exceed_norm_entropy,_exceed_dominant_freq,_exceed_depth,_exceed_sliding_entropy_std,_exceed_rare_suspicious,_exceed_freq_gap_top2
adarshurs.android.vlcmobileremote.apk.sys_names.txt,benign,1,2,0.42857142857142855,1.7498608421652186,1.5875713760356083,15,0.7270347216621296,0.15720631786771966,35.0,1.0145146967453111,1,0.011290720631786773,0,0,0,0,0,1,0,0,0,1
add.any.song.video.apk.sys_names.txt,benign,1,1,0.4838709677419355,2.4328114102133314,1.8588485511100907,15,0.674536691699664,0.23506934616473252,31.0,0.5814672102102624,1,0.009765072176620437,0,0,0,0,0,0,0,0,0,1
adelgazabailando.fitnessaerobic.apk.sys_names.txt,benign,1,0,0.4838709677419355,2.772022438918958,2.207930136577665,15,0.5920069624480024,0.2870652084532522,31.0,0.5062791318922905,2,0.017021626510977717,0,0,0,0,0,0,0,0,0,0
aducompany.com.bestofaudiobooks.apk.sys_names.txt,benign,1,0,0.40540540540540543,4.329985248041228,2.1726558248635786,15,0.6790921195746858,0.3446034282393957,37.0,1.3021237052204064,0,0.25199738524113885,0,0,0,0,0,0,0,0,0,0
aero.skydemon.skydemonandroid.apk.sys_names.txt,benign,1,0,0.24324324324324326,5.814034454316676,5.258810405940803,9,0.18646589177081807,0.8788987517631214,37.0,0.7654806916572592,0,0.8413933165770524,0,0,0,0,0,0,0,0,0,0
af.org.aofoundation.AOSR.apk.sys_names.txt,benign,1,2,0.4722222222222222,3.039691546903003,2.4419269739234313,17,0.5475769669635041,0.28968874201759476,36.0,0.8176267698226549,4,0.012905818782655294,0,0,0,1,0,0,0,0,1,0
agence.bemixte.france201701.apk.sys_names.txt,benign,1,1,0.4473684210526316,3.6484682016989187,2.4212152367681994,17,0.5950447801318494,0.34283892360668283,38.0,1.0637893524045636,2,0.16617778344598902,0,0,0,1,0,0,0,0,0,0
air.CT.apk.sys_names.txt,benign,1,1,0.46153846153846156,2.3896880033419463,2.0225965805931994,12,0.5967812647586748,0.2859608105099087,26.0,0.5303564091091506,1,0.008238699621465152,0,0,0,0,0,0,0,0,0,1
air.com.FUTWIZANDROIDWEBEAST.apk.sys_names.txt,benign,1,1,0.41935483870967744,2.8756959154267605,2.1766866415110817,13,0.600257078706368,0.2854359473940575,31.0,0.5176965083901266,1,0.008002226706561826,0,0,0,0,0,0,0,0,0,1
air.com.SBG.nr2006.apk.sys_names.txt,benign,1,2,0.4583333333333333,2.2571486733495174,1.8262965998466116,11,0.6360961975529005,0.27555034736753997,24.0,0.4843853732502534,0,0.008788817276303675,0,0,0,0,0,0,1,0,0,1
air.com.eu.inove.sss2.apk.sys_names.txt,benign,1,2,0.391304347826087,2.0076893528268203,1.8364517455552156,9,0.6021205382355317,0.2889623624258345,23.0,0.3249676256217936,2,0.06893428144390597,0,0,0,0,0,0,1,1,0,0
air.com.greenbubble.raffaello.apk.sys_names.txt,benign,1,0,0.2857142857142857,5.063491052698325,3.9199930883818093,10,0.34486845711179337,0.6547099883445304,35.0,0.9420766501286205,1,0.46614020613156276,0,0,0,0,0,0,0,0,0,0
air.com.musclemotion.strength.mobile.apk.sys_names.txt,benign,1,2,0.5384615384615384,1.979371686344395,1.5077938148844803,14,0.73724368834457,0.221865889212828,26.0,0.6183098559626251,2,0.03206997084548105,1,0,0,0,1,0,0,0,0,0
air.com.officemax.magicmirror.ElfYourSelf.apk.sys_names.txt,benign,1,0,0.2222222222222222,5.921710125233079,3.36574515301313,10,0.5465913469617443,0.5033908610448529,45.0,0.9397091722552523,1,0.4146672279126327,0,0,0,0,0,0,0,0,0,0
air.com.stardoll.access.apk.sys_names.txt,benign,1,1,0.5384615384615384,2.1713643936487244,1.975316144327851,14,0.6027012855482937,0.2670717392805358,26.0,0.45453055871667497,0,0.02161154456949527,1,0,0,0,0,0,0,0,0,0
air.greenbubble.eli.A0.apk.sys_names.txt,benign,1,0,0.2857142857142857,5.384314487615688,4.433037233489625,10,0.26986584034686095,0.75426409710032,35.0,0.8046977599697706,1,0.614893597048691,0,0,0,0,0,0,0,0,0,0
ajmi.soudais.ayatalkursi.com.ayatalkursi.apk.sys_names.txt,benign,1,0,0.4411764705882353,2.4656294863586923,1.6476083152856205,15,0.7286897250167408,0.2261727475800447,34.0,1.099211590226782,1,0.08246463142218913,0,0,0,0,0,0,0,0,0,0
aku.mbliyut.puzzlepets.apk.sys_names.txt,benign,1,2,0.4827586206896552,2.1226971991616796,1.9456781132955656,14,0.6177468464767489,0.2384333657224008,29.0,0.4363097386226801,2,0.011136856267284551,0,0,0,0,0,0,0,1,0,1
al.ontv.arlind.apk.sys_names.txt,benign,1,2,0.28,3.5188943991695503,2.03275107297148,7,0.650809322193092,0.40134780980906026,25.0,0.4109055706906368,0,0.2873455634593785,0,0,0,0,0,0,1,1,0,0
albumranda2018.albumranda.apk.sys_names.txt,benign,1,1,0.41025641025641024,2.2989396479801814,1.960635185915173,16,0.6553165029926297,0.18437620454837467,39.0,1.004695194529645,2,0.004175767698830785,0,0,0,0,0,0,0,0,0,1
alessandrelli.daniele.buonipostali.apk.sys_names.txt,benign,1,0,0.4827586206896552,1.8980722129876768,1.7176716856777399,14,0.6757038935052369,0.2143638352169158,29.0,0.4531243750921837,1,0.03147405517073763,0,0,0,0,0,0,0,0,0,0
alldictdict.alldict.frit.apk.sys_names.txt,benign,1,0,0.4375,1.9034577958945358,1.6726352064513548,14,0.7048965057328829,0.19287962661456637,32.0,0.4554941895622622,0,0.023879300987734723,0,0,0,0,0,0,0,0,0,0
